Jun 25 00:14:52 astra kernel: [17928.297561] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:14:55 astra kernel: [17931.329610] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:17:57 astra kernel: [18112.874224] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:18:48 astra kernel: [18164.862451] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:21:50 astra kernel: [18346.086369] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:21:56 astra kernel: [18352.234301] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:24:57 astra kernel: [18533.433222] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:25:00 astra kernel: [18536.505086] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:28:01 astra kernel: [18717.752550] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:28:04 astra kernel: [18720.834374] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:31:06 astra kernel: [18902.584891] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:31:12 astra kernel: [18908.731879] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:35:24 astra kernel: [19160.129202] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:35:33 astra kernel: [19169.347274] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:38:34 astra kernel: [19350.589855] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:38:37 astra kernel: [19353.664724] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:41:38 astra kernel: [19533.881058] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:41:41 astra kernel: [19536.955394] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:44:42 astra kernel: [19718.456995] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:44:48 astra kernel: [19724.611642] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:47:50 astra kernel: [19905.852499] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:47:53 astra kernel: [19908.928467] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:50:54 astra kernel: [20090.172010] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:51:00 astra kernel: [20096.313626] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:54:02 astra kernel: [20278.329823] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:54:11 astra kernel: [20287.546235] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:57:12 astra kernel: [20468.793290] nfs: server 192.168.57.11 not responding, timed out
Jun 25 00:57:19 astra kernel: [20474.942241] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:00:20 astra kernel: [20656.192837] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:00:23 astra kernel: [20659.258785] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:03:26 astra kernel: [20842.041641] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:03:32 astra kernel: [20848.185242] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:06:37 astra kernel: [21033.272874] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:06:43 astra kernel: [21039.416933] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:09:45 astra kernel: [21221.177848] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:09:45 astra kernel: [21221.177890] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:12:46 astra kernel: [21402.681861] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:12:46 astra kernel: [21402.681873] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:15:48 astra kernel: [21583.928759] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:15:48 astra kernel: [21583.928770] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:18:49 astra kernel: [21765.181551] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:18:49 astra kernel: [21765.181566] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:22:22 astra kernel: [21978.178108] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:22:22 astra kernel: [21978.178156] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:25:23 astra kernel: [22159.673544] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:25:23 astra kernel: [22159.673557] nfs: server 192.168.57.11 not responding, timed out
Jun 25 01:28:28 astra kernel: [22344.256648] nfs: server 192.168.57.11 not responding, timed out
